Acreage,Region,County,Total,year,month,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,duration,oil,Complex Type,Reporting Ranger,Fire Report Method,Ownership,Latitude,Longitude
1.0,5,Washington,0.0,2008,4,0,0,0,1,0,0,1.0,8,4.0,"Schwab,Werner J",911 Dispatch,Private Property,43.28906,-73.27338
0.1,7,Oswego,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Jackson,Scott ",Ranger Patrol,Private Property,43.24131,-76.23100000000002
3.5,8,Steuben,60.0,2008,4,0,0,0,1,0,0,3.0,8,4.0,"Farrand,Anne M",911 Dispatch,Private Property,42.43429,-77.23401
0.3,8,Steuben,0.0,2008,4,0,0,0,0,0,0,0.0,1,4.0,"Carpenter,Timothy J",911 Dispatch,Private Property,42.19705,-77.62915
1.0,4,Columbia,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Hess,Joseph C",911 Dispatch,Private Property,42.2575,-73.53505
1.5,7,Broome,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Oldroyd,Jeremy M",911 Dispatch,Private Property,42.11896,-75.75542
0.5,5,Warren,0.0,2008,4,0,0,0,10,0,0,0.0,1,5.0,"George,Greg ",911 Dispatch,Private Property,43.72836,-74.08485
3.0,5,Washington,0.0,2008,4,0,0,0,0,0,0,1.0,2,4.0,"Schwab,Werner J",911 Dispatch,Private Property,43.18354,-73.3266
15.2,5,Warren,0.0,2008,4,0,1,0,0,0,0,5.0,9,1.0,"Solan,John X",911 Dispatch,Private Property,43.29658,-73.81903
1.0,5,Clinton,0.0,2008,4,0,0,0,1,0,0,0.0,1,5.0,"Praczkajlo,Robert ",911 Dispatch,Private Property,43.59282,-73.80359
0.9,7,Oswego,0.0,2008,4,0,0,0,0,0,0,0.0,8,4.0,"Jackson,Scott ",911 Dispatch,Private Property,43.2749,-75.87313
1.1,3,Ulster,0.0,2008,4,0,2,0,0,0,0,1.0,9,4.0,"Miller,Gary W",911 Dispatch,Private Property,41.75745,-74.42621
2.5,5,Saratoga,0.0,2008,4,0,0,1,1,0,0,4.0,8,5.0,"Heare,Suzanne M",911 Dispatch,Private Property,43.29631,-74.05537
1.5,8,Ontario,60.0,2008,4,0,0,0,0,0,0,3.0,8,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.70133,-77.486
1.0,8,Schuyler,0.0,2008,4,0,0,0,1,0,0,0.0,1,5.0,"Meehan,William X",911 Dispatch,Private Property,42.34401,-77.06838
10.0,8,Steuben,0.0,2008,5,0,0,0,0,0,0,0.0,2,4.0,"Meehan,William X",Supervisor,State Forest/RF Area,42.21542,-77.40609
8.0,8,Chemung,0.0,2008,5,0,0,0,0,0,0,0.0,3,4.0,"Meehan,William X",Supervisor,Other Government,42.131,-76.95612
1.7,4,Albany,0.0,2008,5,0,0,0,0,0,0,0.0,1,5.0,"Bink,Joseph L",Other,Unique Area,42.73718,-73.88566
5.5,5,Franklin,0.0,2008,5,0,0,0,0,0,1,0.0,1,5.0,"Bassage,Keith ",DEC Dispatch,Private Property,44.82258,-74.59423000000002
7.4,1,Suffolk,0.0,2008,5,0,0,0,0,0,0,1.0,3,4.0,"Gallagher,Bryan ",Ranger Patrol,State Forest/RF Area,40.93067,-72.94668
64.0,3,Sullivan,0.0,2008,5,0,0,0,0,0,0,2.0,7,4.0,"Seeley,Jason J",911 Dispatch,Private Property,41.51923,-74.50189
0.3,5,Fulton,0.0,2008,5,0,0,0,0,0,0,0.0,8,5.0,"Perryman,Arthur C",911 Dispatch,Forest Preserve,43.18075,-74.50471999999998
1.0,8,Monroe,0.0,2008,5,0,0,0,0,0,0,0.0,8,4.0,"Meehan,William X",Other,Unique Area,42.96098,-77.67648
0.2,4,Delaware,0.0,2008,5,0,0,0,0,0,0,0.0,8,5.0,"Bink,Joseph L",911 Dispatch,Private Property,42.17352,-74.71096
1.5,5,Hamilton,0.0,2008,5,0,0,0,0,1,0,0.0,2,4.0,"Scott,Jason S",DEC Dispatch,Private Property,43.78337,-74.30391999999998
0.5,4,Albany,0.0,2008,5,0,0,0,0,0,0,0.0,3,5.0,"Henry,William ",Other,Other Government,42.73984,-73.88665999999998
0.1,5,Franklin,0.0,2008,5,0,0,0,0,0,0,0.0,1,5.0,"Gliddi,Thomas ",Ranger Patrol,Private Property,44.92331,-74.12402
1.2,5,Essex,0.0,2008,5,0,0,0,0,1,0,1.0,6,5.0,"Jeffery,Delbert W",911 Dispatch,Private Property,43.91305,-74.23172
0.1,4,Rensselaer,0.0,2008,5,0,0,0,0,0,0,0.0,9,5.0,"Hess,Joseph C",911 Dispatch,Private Property,42.74498,-73.3087
1.0,5,Essex,0.0,2008,5,0,0,0,0,0,0,2.0,8,5.0,"Harjung,Julie ",DEC Dispatch,Other Government,44.3242,-74.1199
0.1,5,Warren,0.0,2008,5,0,0,0,1,0,0,10.0,8,5.0,"Preston,Stephen L",911 Dispatch,Private Property,43.505,-74.02600000000002
1.7,5,Warren,0.0,2008,5,0,1,0,1,0,2,1.0,8,5.0,"Donegan,Evan F",Landowner,Private Property,43.3427,-73.67811999999998
1.6,5,Franklin,0.0,2008,5,0,0,0,1,0,0,0.0,8,5.0,"Gliddi,Thomas ",911 Dispatch,Private Property,44.6876,-74.51088
9.7,5,Warren,0.0,2008,5,0,0,0,0,0,1,11.0,1,5.0,"Donegan,Evan F",911 Dispatch,Other Not Classified,43.32325,-73.75605
1.0,5,Hamilton,0.0,2008,5,0,0,0,0,0,0,4.0,9,5.0,"Seifts,John ",Sheriff,Forest Preserve,43.49718,-74.40581
0.1,5,Essex,0.0,2008,5,0,0,0,0,0,0,3.0,8,5.0,"Russell,Edwin ",911 Dispatch,Private Property,43.84792,-73.76302
2.4,4,Schoharie,0.0,2008,5,0,1,0,0,0,0,1.0,9,4.0,"Edmunds,Thomas R",911 Dispatch,Private Property,42.34177,-74.19024
0.6,5,Essex,0.0,2008,5,0,0,0,0,0,0,1.0,9,5.0,"Russell,Edwin ",911 Dispatch,Private Property,43.98944,-73.51523
0.5,7,Chenango,0.0,2008,5,0,0,0,0,0,0,8.0,5,4.0,"Prunoske,James ",911 Dispatch,Private Property,42.58975,-75.63773
0.1,5,Hamilton,0.0,2008,5,0,0,0,0,0,0,7.0,9,5.0,"Eakin,Thomas ",Other,Forest Preserve,43.62932,-74.29859
0.5,5,Warren,0.0,2008,6,0,0,0,0,0,0,2.0,8,5.0,"Kabrehl,Charles J",Sheriff,Forest Preserve,43.64521,-73.86786
0.1,5,Hamilton,0.0,2008,6,0,0,0,0,0,0,4.0,9,5.0,"Seifts,John ",DEC Dispatch,Forest Preserve,43.70963,-74.34781
0.3,6,Lewis,0.0,2008,5,0,0,0,0,0,0,0.0,1,5.0,"Hubschmitt,Michael ",911 Dispatch,Private Property,43.85512,-75.22898
0.1,5,Essex,0.0,2008,6,0,0,0,0,0,0,0.0,9,5.0,"Giglinto,James ",Ranger Patrol,Wilderness Area,44.16575,-73.96933
9.5,5,Hamilton,97.92,2008,6,0,0,0,0,0,0,22.0,8,5.0,"Perryman,Arthur C",Other,Forest Preserve,43.3426,-74.18443
0.5,5,Washington,0.0,2008,6,0,0,0,0,0,0,3.0,8,4.0,"Bodnar,Michael J",911 Dispatch,Private Property,43.1358,-73.3119
3.0,6,Lewis,0.0,2008,6,0,0,0,0,0,0,6.0,2,5.0,"Hubschmitt,Michael ",Sheriff,Private Property,43.7939,-75.34149000000002
0.1,5,Essex,0.0,2008,7,0,0,0,0,0,0,6.0,9,5.0,"Platt,Charles ",Other,Forest Preserve,44.18706,-73.75913
0.2,7,Oswego,0.0,2008,7,0,0,0,0,0,0,0.0,1,3.0,"Jackson,Scott ",911 Dispatch,Private Property,43.2879,-76.3707
0.3,6,Herkimer,0.0,2008,7,0,0,0,0,0,0,1.0,1,5.0,"Pickett,Adam ",911 Dispatch,Private Property,43.27086,-74.92014
0.1,7,Oswego,0.0,2008,7,0,0,0,0,0,0,0.0,8,5.0,"Jackson,Scott ",Ranger Patrol,State Forest/RF Area,43.53794,-75.90250999999998
0.1,5,Essex,0.0,2008,7,0,0,0,0,0,0,0.0,8,5.0,"Bode,Sarah ",911 Dispatch,Forest Preserve,44.14081,-73.42135999999998
0.5,5,Essex,0.0,2008,7,0,0,0,0,1,0,3.0,8,5.0,"St. Claire,Mark R",Other,Private Property,43.9188,-73.43418
0.1,5,Hamilton,0.0,2008,7,0,0,0,0,0,0,0.0,8,5.0,"Ploss,John ",DEC Dispatch,State Forest/RF Area,43.60617,-74.3915
0.2,1,Suffolk,0.0,2008,7,0,0,0,0,0,0,3.0,6,5.0,"Thompson,Michael W",911 Dispatch,Unique Area,40.76769,-73.30495
0.2,1,Suffolk,0.0,2008,7,0,0,0,0,0,0,9.0,6,4.0,"Gallagher,Bryan ",Local P.D.,Wildlife Management Area,40.92173,-72.9287
0.2,5,Essex,0.0,2008,8,0,0,0,0,0,0,3.0,1,5.0,"Russell,Edwin ",Landowner,Private Property,43.77605,-73.79885999999998
0.1,6,Herkimer,0.0,2008,8,0,0,0,0,0,0,1.0,9,5.0,"Scanlon,John ",DEC Dispatch,Forest Preserve,43.81676,-74.88088
0.1,5,Franklin,0.0,2008,9,0,0,0,0,0,0,1.0,8,5.0,"Harjung,Julie ",Other,Forest Preserve,44.32685,-74.40926
0.3,1,Suffolk,0.0,2008,9,0,0,0,0,0,0,2.0,6,4.0,"Thompson,Michael W",Ranger Patrol,Unique Area,40.94606,-72.71281
9.2,5,Franklin,36.0,2008,9,0,0,0,0,0,0,6.0,1,5.0,"Bassage,Keith ",Ranger Patrol,Conservation Easement,44.43056,-74.2391
2.0,5,Franklin,0.0,2008,9,0,0,0,0,0,0,3.0,4,5.0,"Balerno,Jeffrey ",Other,Forest Preserve,44.30153,-73.94166
0.2,7,Onondaga,0.0,2008,9,0,0,0,0,0,0,1.0,1,5.0,"Jackson,Scott ",Other,Wildlife Management Area,43.19616,-76.31803000000002
0.1,7,Broome,0.0,2008,10,0,0,0,0,0,0,6.0,8,5.0,"Oldroyd,Jeremy M",911 Dispatch,State Forest/RF Area,42.12181,-75.53826
0.1,7,Chenango,0.0,2008,10,0,0,0,0,0,0,0.0,8,4.0,"McPherson,James ",911 Dispatch,State Forest/RF Area,42.70475,-75.65231999999997
0.1,7,Chenango,0.0,2008,10,0,0,0,0,0,0,0.0,8,4.0,"McPherson,James ",911 Dispatch,State Forest/RF Area,42.6967,-75.66524
0.1,7,Chenango,0.0,2008,10,0,0,0,0,0,0,0.0,8,4.0,"Prunoske,James ",911 Dispatch,Private Property,42.70834,-75.69164
4.0,3,Putnam,0.0,2008,10,0,0,0,0,0,0,3.0,8,5.0,"Baldwin,Benjamin C",911 Dispatch,Private Property,41.41201,-73.74027
